Word,Length,Consonants,Vowels,Syllables,Origin,Favourite
Doubt,5,3,2,1,Middle English,
Boots,5,3,2,1,,
Haven,5,3,2,2,Old English,
Panic,5,3,2,2,Middle French,
Tight,5,4,1,1,Middle English,
Cilia,5,2,3,3,,
Tease,5,2,3,1,Middle English,
Creek,5,3,2,1,Old Norse,
Plaid,5,3,2,1,Scots,
Omaha,5,2,3,3,,
Crowd,5,4,1,1,Old English,
Arson,5,3,2,2,Anglo Norman,
Elite,5,2,3,2,Old French,
Mania,5,2,3,3,Latin,
Nurse,5,3,2,1,Old French,
Maine,5,2,3,1,French,
Xenon,5,3,2,2,Ancient Greek,
Moose,5,2,3,1,Algonquian,
Lotus,5,3,2,2,Latin,
Xanax,5,3,2,2,,
Flesh,5,4,1,1,Middle English,
Korea,5,2,3,2,Korean,
Blade,5,3,2,1,Middle English,
Years,5,3,2,1,,
Elope,5,2,3,2,Anglo Norman,
Maybe,5,3,2,2,,
Spout,5,3,2,1,,
Blake,5,3,2,1,Irish,
Liter,5,3,2,2,French,
Blaze,5,3,2,1,Middle English,
Crash,5,4,1,1,Middle English,
Casey,5,3,2,2,,
Claim,5,3,2,1,Middle English,
Siren,5,3,2,2,Middle English,
Prism,5,4,1,2,Late Latin,
Poise,5,2,3,1,Anglo Norman,
Sharp,5,4,1,1,Middle English,
Torch,5,4,1,1,Old French,
Fling,5,4,1,1,,
Bruno,5,3,2,2,Italian,
Drugs,5,4,1,1,English,
Scale,5,3,2,1,Latin,
Lohan,5,3,2,2,,
Tyson,5,4,1,2,Old French,
Check,5,4,1,1,Old French,
Dutch,5,4,1,1,Middle English,
Cocoa,5,2,3,2,Spanish,
Begin,5,3,2,2,,
Azure,5,2,3,2,Old French,
Drake,5,3,2,1,Middle English,
Mecca,5,3,2,2,,
Greek,5,3,2,1,Latin,
Found,5,3,2,1,Anglo Norman,
Mount,5,3,2,1,Middle English,
Bleed,5,3,2,1,Old English,
Alter,5,3,2,2,Old French,
Bonus,5,3,2,2,Latin,
Shade,5,3,2,1,Old English,
Growl,5,4,1,1,Middle English,
Asana,5,2,3,3,Sanskrit,
Cabin,5,3,2,2,Middle English,
Slate,5,3,2,1,Old French,
Moron,5,3,2,2,Ancient Greek,
Liger,5,3,2,2,Vulgar Latin,
Baton,5,3,2,2,French,
Hands,5,4,1,1,,
Broke,5,3,2,1,,
Ratio,5,2,3,3,Latin,
Viola,5,2,3,3,Italian,
Wedge,5,3,2,1,Middle English,
Jerry,5,4,1,2,English,
Creep,5,3,2,1,Middle English,
Arena,5,2,3,3,Latin,
Genus,5,3,2,2,Latin,
Lucas,5,3,2,2,Latin,
Oriya,5,2,3,2,,
Trick,5,4,1,1,Old Northern French,
Medal,5,3,2,2,Middle French,
Sunny,5,4,1,2,,
Piece,5,2,3,1,Middle English,
Bliss,5,4,1,1,Old English,
Fetch,5,4,1,1,Middle English,
Abaca,5,2,3,3,Spanish,
Aglet,5,3,2,2,,
Spike,5,3,2,1,Latin,
Older,5,3,2,2,Old Norse,
Avian,5,2,3,3,Latin,
Gourd,5,3,2,1,Anglo Norman,
Weird,5,3,2,1,,
Ample,5,3,2,2,Middle French,
Cache,5,3,2,1,French,
Lower,5,3,2,2,,
Brick,5,4,1,1,Middle French,
Goods,5,3,2,1,,
Robot,5,3,2,2,Czech,
Trend,5,4,1,1,Middle English,
Prize,5,3,2,1,Middle English,
Islam,5,3,2,2,Arabic,
Ultra,5,3,2,2,Latin,
Lying,5,4,1,2,,
Bunch,5,4,1,1,Middle English,
Hater,5,3,2,2,,
Potty,5,4,1,2,,
Edgar,5,3,2,2,Old English,
Beads,5,3,2,1,,
Adult,5,3,2,2,French,
Wheat,5,3,2,1,Middle English,
Liana,5,2,3,3,French,
Crest,5,4,1,1,Middle English,
Hindu,5,3,2,2,Persian,
Niece,5,2,3,1,Middle English,
Depth,5,4,1,1,Middle English,
Spear,5,3,2,1,Middle English,
Chile,5,3,2,1,Spanish,
Carry,5,4,1,2,Middle English,
Norma,5,3,2,2,Latin,
Amble,5,3,2,2,Old French,
Label,5,3,2,2,Middle English,
Scene,5,3,2,2,Middle French,
Rally,5,4,1,2,Old French,
Names,5,3,2,1,Proto Algonquian,
Guest,5,3,2,1,Middle English,
Holla,5,3,2,2,,
Wheel,5,3,2,1,Middle English,
Steak,5,3,2,1,Old Norse,
Ivory,5,3,2,3,Middle English,
Randy,5,4,1,2,Middle English,
Pitch,5,4,1,1,Old English,
Books,5,3,2,1,,
Bunny,5,4,1,2,Middle English,
